taxon_id,scientific_name,common_name_original,common_name_model,taxonomy_class,generic_label,grounding_dino_prompt,qwen_label,yolo_open_vocab_label,aliases
717858,Aspidoscelis sexlineatus,Six-lined Racerunner,six lined racerunner,Reptilia,reptile,six lined racerunner. reptile.,six lined racerunner,six lined racerunner,six lined racerunner|reptile
32064,Elgaria coerulea,Northern Alligator Lizard,northern alligator lizard,Reptilia,reptile,northern alligator lizard. reptile.,northern alligator lizard,northern alligator lizard,northern alligator lizard|reptile
29925,Heterodon platirhinos,Eastern Hognose Snake,eastern hognose snake,Reptilia,reptile,eastern hognose snake. reptile.,eastern hognose snake,eastern hognose snake,eastern hognose snake|reptile
73905,Phrynosoma cornutum,Texas Horned Lizard,texas horned lizard,Reptilia,reptile,texas horned lizard. reptile.,texas horned lizard,texas horned lizard,texas horned lizard|reptile
797638,Diploderma swinhonis,Taiwan Japalure,taiwan japalure,Reptilia,reptile,taiwan japalure. reptile.,taiwan japalure,taiwan japalure,taiwan japalure|reptile
34050,Phelsuma laticauda,Gold Dust Day Gecko,gold dust day gecko,Reptilia,reptile,gold dust day gecko. reptile.,gold dust day gecko,gold dust day gecko,gold dust day gecko|reptile
35306,Ctenosaura pectinata,Western Spiny-tailed Iguana,western spiny tailed iguana,Reptilia,reptile,western spiny tailed iguana. reptile.,western spiny tailed iguana,western spiny tailed iguana,western spiny tailed iguana|reptile
37460,Tiliqua rugosa,Shingleback,shingleback,Reptilia,reptile,shingleback. reptile.,shingleback,shingleback,shingleback|reptile
36315,Phrynosoma hernandesi,Greater Short-horned Lizard,greater short horned lizard,Reptilia,reptile,greater short horned lizard. reptile.,greater short horned lizard,greater short horned lizard,greater short horned lizard|reptile
50238,Morelia spilota,Carpet Python,carpet python,Reptilia,reptile,carpet python. reptile.,carpet python,carpet python,carpet python|reptile
73792,Plestiodon laticeps,Broad-headed Skink,broad headed skink,Reptilia,reptile,broad headed skink. reptile.,broad headed skink,broad headed skink,broad headed skink|reptile
37456,Tiliqua scincoides,Common Bluetongue,common bluetongue,Reptilia,reptile,common bluetongue. reptile.,common bluetongue,common bluetongue,common bluetongue|reptile
31150,Agama atra,Southern Rock Agama,southern rock agama,Reptilia,reptile,southern rock agama. reptile.,southern rock agama,southern rock agama,southern rock agama|reptile
37769,Plestiodon skiltonianus,Western Skink,western skink,Reptilia,reptile,western skink. reptile.,western skink,western skink,western skink|reptile
35854,Lacerta viridis,Green Lizard,green lizard,Reptilia,reptile,green lizard. reptile.,green lizard,green lizard,green lizard|reptile
116517,Caiman crocodilus,Spectacled Caiman,spectacled caiman,Reptilia,reptile,spectacled caiman. reptile.,spectacled caiman,spectacled caiman,spectacled caiman|reptile
36076,Cophosaurus texanus,Greater Earless Lizard,greater earless lizard,Reptilia,reptile,greater earless lizard. reptile.,greater earless lizard,greater earless lizard,greater earless lizard|reptile
